,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
50,ENSG00000133639,BTG1,0.76,4e-01,0.06,1e+00,0.43,1e+00,0.47,7e-01,-0.38,1e+00,-0.97,4e-01,-0.01,1e+00,-4.42,3e-01,-1.29,9e-03
51,ENSG00000087074,PPP1R15A,0.76,4e-01,0.02,1e+00,0.70,6e-01,0.12,1e+00,-0.33,1e+00,-0.41,1e+00,-0.33,1e+00,-4.94,3e-01,-0.91,1e-01
52,ENSG00000005483,KMT2E,0.76,4e-01,-0.20,1e+00,0.09,1e+00,0.11,1e+00,0.93,3e-01,-0.32,1e+00,-0.08,1e+00,-2.92,4e-01,-0.97,1e-01
53,ENSG00000086061,DNAJA1,0.76,4e-01,-0.14,1e+00,0.09,1e+00,0.28,1e+00,0.03,1e+00,-0.20,1e+00,-0.14,1e+00,-5.55,3e-01,-0.79,2e-01
54,ENSG00000077238,IL4R,0.75,4e-01,-0.70,6e-01,0.80,4e-01,0.37,8e-01,1.39,1e-01,-2.91,2e-04,-0.31,1e+00,-3.79,3e-01,-1.24,3e-02
55,ENSG00000150347,ARID5B,0.75,4e-01,-0.75,6e-01,0.00,1e+00,-0.01,1e+00,0.20,9e-01,0.74,3e-01,0.00,1e+00,-4.26,3e-01,-0.81,2e-01
56,ENSG00000167604,NFKBID,0.75,4e-01,-0.67,7e-01,1.23,3e-02,-0.44,8e-01,1.04,3e-01,-0.73,8e-01,-0.06,1e+00,-3.93,3e-01,-1.02,1e-01
57,ENSG00000163728,TTC14,0.75,4e-01,-0.78,6e-01,-0.39,1e+00,0.30,9e-01,1.61,6e-02,-0.63,9e-01,0.04,1e+00,-4.02,3e-01,-0.96,1e-01
58,ENSG00000100201,DDX17,0.75,5e-01,-0.78,5e-01,-0.56,1e+00,0.31,9e-01,1.75,4e-02,-0.72,7e-01,-0.15,1e+00,-2.76,4e-01,-0.87,2e-01
59,ENSG00000157514,TSC22D3,0.73,5e-01,0.61,5e-01,1.20,4e-02,-0.34,9e-01,-0.07,1e+00,-0.61,9e-01,-0.22,1e+00,-4.35,3e-01,-2.02,4e-05
60,ENSG00000160613,PCSK7,0.73,5e-01,-0.27,1e+00,-0.31,1e+00,-0.20,1e+00,1.78,4e-02,-0.08,1e+00,-0.49,1e+00,-2.82,4e-01,-0.70,4e-01
