,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
262,ENSG00000149273,RPS3,-0.74,7e-01,0.88,1e-01,-0.03,1e+00,-0.15,1e+00,-2.87,8e-02,0.21,1e+00,0.09,1e+00,-3.69,3e-01,0.36,7e-01
263,ENSG00000130770,ATPIF1,-0.74,7e-01,-0.39,1e+00,-0.98,6e-01,-0.03,1e+00,-2.10,2e-01,1.42,3e-03,-0.22,1e+00,-2.35,5e-01,0.67,2e-01
264,ENSG00000143977,SNRPG,-0.73,7e-01,-0.86,5e-01,-0.30,1e+00,-0.28,1e+00,-2.22,2e-01,0.27,1e+00,-0.66,1e+00,-2.81,4e-01,1.67,2e-06
265,ENSG00000156261,CCT8,-0.68,8e-01,-1.44,7e-02,-1.17,4e-01,0.17,1e+00,-1.09,7e-01,-0.55,9e-01,-0.28,1e+00,-3.53,3e-01,1.80,9e-08
266,ENSG00000130755,GMFG,-0.68,8e-01,0.87,1e-01,-0.16,1e+00,-0.74,4e-01,-1.93,3e-01,1.48,2e-03,-0.30,1e+00,-3.24,3e-01,0.03,1e+00
267,ENSG00000154723,ATP5J,-0.67,8e-01,-1.01,3e-01,-1.27,2e-01,-0.01,1e+00,-2.61,1e-01,0.02,1e+00,0.16,1e+00,-3.06,3e-01,1.60,6e-06
268,ENSG00000113810,SMC4,-0.64,8e-01,-2.11,4e-03,-1.71,7e-02,-0.70,5e-01,0.41,7e-01,-0.80,7e-01,-1.23,1e+00,-3.27,3e-01,2.54,2e-15
269,ENSG00000075624,ACTB,-0.62,8e-01,-1.04,2e-01,-0.67,8e-01,0.35,8e-01,-1.79,3e-01,0.04,1e+00,0.04,1e+00,-3.89,3e-01,1.16,3e-03
270,ENSG00000116473,RAP1A,-0.60,9e-01,0.10,1e+00,-0.51,1e+00,-0.25,1e+00,-1.22,6e-01,1.81,3e-05,-0.73,1e+00,-4.45,3e-01,0.10,1e+00
271,ENSG00000198830,HMGN2,-0.60,9e-01,-1.31,1e-01,-0.81,8e-01,-0.32,1e+00,-2.29,2e-01,-0.94,5e-01,-0.70,1e+00,-4.73,3e-01,2.26,2e-12
272,ENSG00000143401,ANP32E,-0.59,9e-01,-0.83,5e-01,-0.91,7e-01,-0.38,9e-01,-1.01,7e-01,-0.24,1e+00,-0.69,1e+00,-2.70,4e-01,1.96,5e-09
273,ENSG00000100316,RPL3,-0.57,8e-01,0.58,5e-01,0.09,1e+00,-0.07,1e+00,-2.26,2e-01,0.06,1e+00,0.21,1e+00,-3.70,3e-01,0.38,6e-01
274,ENSG00000145425,RPS3A,-0.57,8e-01,0.70,3e-01,0.16,1e+00,0.03,1e+00,-2.78,9e-02,0.11,1e+00,0.20,1e+00,-3.78,3e-01,0.14,1e+00
275,ENSG00000122862,SRGN,-0.55,9e-01,1.07,5e-02,0.21,1e+00,-1.22,1e-02,-1.56,4e-01,2.24,4e-08,-0.92,1e+00,-3.34,3e-01,-1.44,6e-03
276,ENSG00000122026,RPL21,-0.55,8e-01,0.63,4e-01,0.31,1e+00,0.05,1e+00,-2.63,1e-01,0.10,1e+00,0.15,1e+00,-3.92,3e-01,0.09,1e+00
277,ENSG00000117289,TXNIP,-0.55,9e-01,1.49,9e-04,2.42,3e-09,-2.24,2e-06,0.12,1e+00,-0.27,1e+00,-1.19,1e+00,-3.49,3e-01,-2.80,1e-07
278,ENSG00000198695,MT-ND6,-0.52,9e-01,-0.11,1e+00,-0.13,1e+00,-1.08,7e-02,1.27,2e-01,-0.13,1e+00,-1.16,1e+00,3.35,9e-07,-0.53,6e-01
279,ENSG00000181617,FDCSP,-0.51,1e+00,-3.01,1e+00,-0.32,1e+00,-1.95,1e+00,-0.10,8e-01,-1.80,1e+00,-2.26,1e+00,5.76,3e-02,-2.18,1e+00
280,ENSG00000171159,C9orf16,-0.50,9e-01,-0.19,1e+00,-0.81,8e-01,-0.23,1e+00,-1.91,3e-01,2.00,1e-06,0.14,1e+00,-4.02,3e-01,-0.35,9e-01
281,ENSG00000164587,RPS14,-0.49,9e-01,0.87,1e-01,0.14,1e+00,-0.14,1e+00,-2.86,8e-02,0.16,1e+00,0.28,1e+00,-3.86,3e-01,0.04,1e+00
282,ENSG00000090266,NDUFB2,-0.47,1e+00,-0.68,7e-01,-0.87,7e-01,0.02,1e+00,-2.21,2e-01,1.10,5e-02,0.29,1e+00,-3.08,3e-01,0.63,2e-01
283,ENSG00000125347,IRF1,-0.46,1e+00,1.28,7e-03,1.14,5e-02,-1.08,7e-02,-0.03,1e+00,0.94,1e-01,-1.27,1e+00,-2.01,7e-01,-1.12,6e-02
284,ENSG00000167526,RPL13,-0.46,9e-01,0.86,2e-01,0.20,1e+00,-0.15,1e+00,-2.13,1e-01,0.25,1e+00,0.23,1e+00,-4.03,3e-01,-0.07,1e+00
285,ENSG00000138495,COX17,-0.45,1e+00,-1.44,7e-02,-0.37,1e+00,-0.18,1e+00,-2.10,2e-01,-0.34,1e+00,0.02,1e+00,-2.96,4e-01,1.66,1e-06
286,ENSG00000233276,GPX1,-0.44,1e+00,-1.13,2e-01,0.66,6e-01,0.12,1e+00,-1.62,4e-01,1.16,3e-02,0.26,1e+00,-2.93,4e-01,-0.34,9e-01
287,ENSG00000204628,GNB2L1,-0.44,9e-01,-0.17,1e+00,-0.41,1e+00,0.54,5e-01,-1.89,3e-01,-0.18,1e+00,0.44,1e+00,-3.88,3e-01,0.34,7e-01
288,ENSG00000233927,RPS28,-0.43,1e+00,0.51,6e-01,0.07,1e+00,0.11,1e+00,-2.56,1e-01,0.25,1e+00,0.27,1e+00,-3.73,3e-01,0.03,1e+00
289,ENSG00000198938,MT-CO3,-0.42,1e+00,-0.47,8e-01,-0.48,1e+00,-0.84,2e-01,1.13,2e-01,-0.63,7e-01,-0.60,1e+00,3.40,4e-07,-0.26,9e-01
290,ENSG00000156508,EEF1A1,-0.42,1e+00,0.39,8e-01,-0.13,1e+00,-0.01,1e+00,-1.69,2e-01,0.25,1e+00,0.17,1e+00,-3.52,3e-01,0.37,6e-01
291,ENSG00000105372,RPS19,-0.41,1e+00,0.47,7e-01,0.16,1e+00,-0.00,1e+00,-2.29,2e-01,0.07,1e+00,0.31,1e+00,-3.88,3e-01,0.20,9e-01
292,ENSG00000138326,RPS24,-0.41,1e+00,0.37,8e-01,-0.01,1e+00,0.04,1e+00,-2.36,2e-01,0.27,1e+00,0.26,1e+00,-3.73,3e-01,0.27,8e-01
293,ENSG00000130811,EIF3G,-0.41,1e+00,0.06,1e+00,-0.25,1e+00,0.50,6e-01,-1.65,4e-01,0.06,1e+00,0.40,1e+00,-3.87,3e-01,0.04,1e+00
294,ENSG00000166441,RPL27A,-0.40,1e+00,0.47,7e-01,0.13,1e+00,0.10,1e+00,-2.25,2e-01,-0.12,1e+00,0.31,1e+00,-3.41,3e-01,0.19,1e+00
295,ENSG00000143947,RPS27A,-0.40,1e+00,0.56,5e-01,0.13,1e+00,0.07,1e+00,-2.59,1e-01,0.03,1e+00,0.30,1e+00,-3.82,3e-01,0.09,1e+00
296,ENSG00000175390,EIF3F,-0.39,1e+00,-0.31,1e+00,-0.56,1e+00,0.53,5e-01,-2.61,1e-01,0.08,1e+00,0.42,1e+00,-3.29,3e-01,0.39,6e-01
297,ENSG00000142676,RPL11,-0.38,1e+00,0.61,5e-01,0.14,1e+00,0.05,1e+00,-2.51,1e-01,0.11,1e+00,0.38,1e+00,-3.81,3e-01,-0.07,1e+00
298,ENSG00000123975,CKS2,-0.38,1e+00,-0.44,9e-01,1.19,4e-02,-0.18,1e+00,-1.94,3e-01,-0.48,1e+00,-0.16,1e+00,-4.33,3e-01,0.61,2e-01
299,ENSG00000231500,RPS18,-0.37,1e+00,0.41,7e-01,-0.18,1e+00,0.10,1e+00,-2.43,9e-02,-0.12,1e+00,0.47,1e+00,-3.66,3e-01,0.31,8e-01
300,ENSG00000134419,RPS15A,-0.36,1e+00,0.73,3e-01,-0.06,1e+00,0.08,1e+00,-2.89,8e-02,0.14,1e+00,0.33,1e+00,-3.70,3e-01,-0.05,1e+00
301,ENSG00000160255,ITGB2,-0.36,1e+00,0.61,4e-01,0.17,1e+00,-0.41,9e-01,0.00,1e+00,1.48,2e-03,-0.18,1e+00,-3.48,3e-01,-1.12,5e-02
302,ENSG00000172809,RPL38,-0.35,1e+00,1.13,3e-02,0.43,1e+00,-0.33,9e-01,-2.08,2e-01,0.17,1e+00,0.10,1e+00,-3.54,3e-01,-0.33,8e-01
303,ENSG00000163479,SSR2,-0.35,1e+00,0.13,1e+00,-0.51,1e+00,0.31,9e-01,-1.67,4e-01,0.53,6e-01,0.41,1e+00,-3.04,3e-01,-0.00,1e+00
304,ENSG00000111678,C12orf57,-0.33,1e+00,1.22,1e-02,0.06,1e+00,-0.87,2e-01,-1.75,3e-01,1.51,1e-03,-0.03,1e+00,-2.89,4e-01,-1.12,5e-02
305,ENSG00000197958,RPL12,-0.33,1e+00,0.25,1e+00,0.04,1e+00,0.12,1e+00,-2.35,2e-01,-0.08,1e+00,0.42,1e+00,-3.71,3e-01,0.27,8e-01
306,ENSG00000177600,RPLP2,-0.32,1e+00,0.71,3e-01,0.29,1e+00,-0.13,1e+00,-2.07,2e-01,0.09,1e+00,0.20,1e+00,-3.61,3e-01,0.02,1e+00
307,ENSG00000133112,TPT1,-0.32,1e+00,1.18,2e-02,0.28,1e+00,-0.18,1e+00,-2.36,2e-01,0.03,1e+00,0.12,1e+00,-3.58,3e-01,-0.38,7e-01
308,ENSG00000105640,RPL18A,-0.31,1e+00,0.35,8e-01,0.25,1e+00,0.06,1e+00,-2.28,2e-01,-0.11,1e+00,0.36,1e+00,-3.74,3e-01,0.17,1e+00
309,ENSG00000063177,RPL18,-0.31,1e+00,0.41,8e-01,0.13,1e+00,0.15,1e+00,-2.57,1e-01,0.06,1e+00,0.40,1e+00,-3.87,3e-01,-0.00,1e+00
310,ENSG00000109475,RPL34,-0.31,1e+00,0.86,2e-01,0.26,1e+00,-0.03,1e+00,-2.52,1e-01,0.20,1e+00,0.30,1e+00,-3.85,3e-01,-0.38,7e-01
311,ENSG00000142541,RPL13A,-0.30,1e+00,0.50,6e-01,0.29,1e+00,-0.13,1e+00,-1.60,4e-01,0.23,1e+00,0.23,1e+00,-3.77,3e-01,0.05,1e+00
312,ENSG00000198668,CALM1,-0.30,1e+00,0.88,2e-01,0.18,1e+00,-0.18,1e+00,-1.27,5e-01,0.74,4e-01,-0.50,1e+00,-3.55,3e-01,-0.24,1e+00
313,ENSG00000066923,STAG3,-0.28,1e+00,-4.14,8e-09,-0.95,7e-01,1.22,2e-03,-1.71,4e-01,-3.27,3e-05,0.56,1e+00,-4.59,3e-01,0.87,5e-02
314,ENSG00000198804,MT-CO1,-0.27,1e+00,-0.31,1e+00,-0.16,1e+00,-0.65,4e-01,1.11,3e-01,-0.31,1e+00,-0.38,1e+00,2.75,5e-04,-0.34,8e-01
315,ENSG00000161970,RPL26,-0.27,1e+00,0.30,9e-01,0.04,1e+00,0.17,1e+00,-2.69,1e-01,0.07,1e+00,0.45,1e+00,-3.85,3e-01,0.05,1e+00
316,ENSG00000198712,MT-CO2,-0.27,1e+00,-0.34,1e+00,-0.29,1e+00,-0.79,2e-01,1.17,2e-01,-0.43,1e+00,-0.49,1e+00,3.15,4e-06,-0.49,6e-01
317,ENSG00000213719,CLIC1,-0.27,1e+00,-0.89,4e-01,0.01,1e+00,0.25,1e+00,-1.95,3e-01,0.54,6e-01,0.51,1e+00,-3.44,3e-01,0.25,8e-01
318,ENSG00000167996,FTH1,-0.26,1e+00,0.18,1e+00,1.67,2e-04,-0.39,8e-01,-1.99,2e-01,0.32,1e+00,0.08,1e+00,-2.87,4e-01,-1.16,2e-02
319,ENSG00000198242,RPL23A,-0.25,1e+00,0.50,6e-01,0.20,1e+00,-0.02,1e+00,-2.54,1e-01,-0.12,1e+00,0.37,1e+00,-3.77,3e-01,0.15,1e+00
320,ENSG00000172183,ISG20,-0.22,1e+00,-0.44,9e-01,0.20,1e+00,0.49,6e-01,-1.42,5e-01,1.04,7e-02,-0.16,1e+00,-3.84,3e-01,-0.61,5e-01
321,ENSG00000114391,RPL24,-0.22,1e+00,-0.10,1e+00,-0.41,1e+00,0.39,8e-01,-2.40,1e-01,-0.21,1e+00,0.47,1e+00,-4.07,3e-01,0.39,6e-01
322,ENSG00000186468,RPS23,-0.22,1e+00,0.26,1e+00,0.27,1e+00,0.15,1e+00,-2.64,1e-01,-0.22,1e+00,0.42,1e+00,-3.79,3e-01,0.09,1e+00
323,ENSG00000145592,RPL37,-0.22,1e+00,0.44,7e-01,0.04,1e+00,0.15,1e+00,-2.32,2e-01,0.08,1e+00,0.40,1e+00,-3.84,3e-01,-0.07,1e+00
324,ENSG00000091527,CDV3,-0.21,1e+00,-1.60,3e-02,-1.60,7e-02,1.22,1e-03,-0.65,1e+00,-0.73,7e-01,0.23,1e+00,-4.45,3e-01,0.41,6e-01
325,ENSG00000135390,ATP5G2,-0.21,1e+00,-0.49,9e-01,-0.37,1e+00,0.43,7e-01,-2.60,1e-01,0.08,1e+00,0.44,1e+00,-3.81,3e-01,0.40,6e-01
326,ENSG00000132465,IGJ,-0.21,1e+00,-6.37,2e-13,-0.66,1e+00,1.52,3e-05,-1.51,5e-01,-2.06,2e-02,0.01,1e+00,-3.06,4e-01,0.54,4e-01
327,ENSG00000221983,UBA52,-0.21,1e+00,0.30,9e-01,0.11,1e+00,0.13,1e+00,-2.38,2e-01,0.20,1e+00,0.45,1e+00,-3.73,3e-01,-0.10,1e+00
328,ENSG00000198918,RPL39,-0.21,1e+00,0.63,4e-01,0.22,1e+00,0.06,1e+00,-2.73,1e-01,0.07,1e+00,0.36,1e+00,-3.86,3e-01,-0.22,1e+00
329,ENSG00000128218,VPREB3,-0.21,1e+00,-6.61,1e-15,-0.04,1e+00,1.50,2e-05,-1.75,3e-01,-4.15,1e-07,0.34,1e+00,-5.47,3e-01,0.30,8e-01
330,ENSG00000213741,RPS29,-0.20,1e+00,0.96,9e-02,0.35,1e+00,-0.24,1e+00,-2.75,1e-01,0.22,1e+00,0.26,1e+00,-4.26,3e-01,-0.37,7e-01
331,ENSG00000130255,RPL36,-0.20,1e+00,0.45,7e-01,-0.02,1e+00,0.02,1e+00,-2.22,2e-01,0.09,1e+00,0.39,1e+00,-3.87,3e-01,0.10,1e+00
332,ENSG00000198888,MT-ND1,-0.19,1e+00,-0.11,1e+00,-0.30,1e+00,-0.83,2e-01,1.22,2e-01,-0.52,9e-01,-0.51,1e+00,3.21,3e-06,-0.80,2e-01
333,ENSG00000254999,BRK1,-0.19,1e+00,-1.79,1e-02,-0.97,6e-01,0.92,4e-02,-2.43,1e-01,-0.42,1e+00,0.53,1e+00,-3.84,3e-01,0.56,3e-01
334,ENSG00000120885,CLU,-0.19,1e+00,-1.09,1e+00,-0.38,1e+00,-1.88,1e+00,0.53,7e-01,-0.81,1e+00,-1.28,1e+00,4.82,3e-01,-1.10,1e+00
335,ENSG00000198727,MT-CYB,-0.19,1e+00,-0.13,1e+00,-0.36,1e+00,-0.95,9e-02,1.21,2e-01,-0.30,1e+00,-0.50,1e+00,3.14,4e-06,-0.63,4e-01
336,ENSG00000123505,AMD1,-0.18,1e+00,0.87,1e-01,0.72,5e-01,-0.30,1e+00,0.49,6e-01,0.27,1e+00,-0.55,1e+00,-3.01,4e-01,-0.83,2e-01
337,ENSG00000235162,C12orf75,-0.18,1e+00,-2.67,8e-05,-1.58,9e-02,0.87,6e-02,-1.84,3e-01,-2.17,7e-03,0.33,1e+00,-3.91,3e-01,1.30,5e-04
338,ENSG00000168610,STAT3,-0.16,1e+00,1.16,2e-02,-0.09,1e+00,-0.73,4e-01,0.34,8e-01,1.27,1e-02,-0.39,1e+00,-3.77,3e-01,-1.19,3e-02
339,ENSG00000182899,RPL35A,-0.16,1e+00,0.23,1e+00,-0.25,1e+00,0.29,9e-01,-2.79,9e-02,-0.17,1e+00,0.55,1e+00,-4.15,3e-01,0.10,1e+00
340,ENSG00000162244,RPL29,-0.16,1e+00,-0.02,1e+00,-0.33,1e+00,0.40,8e-01,-2.48,1e-01,-0.36,1e+00,0.60,1e+00,-3.81,3e-01,0.23,9e-01
341,ENSG00000143799,PARP1,-0.16,1e+00,-2.38,3e-04,-1.21,3e-01,0.76,2e-01,-0.91,8e-01,-0.82,6e-01,0.00,1e+00,-3.39,3e-01,1.14,4e-03
342,ENSG00000144713,RPL32,-0.15,1e+00,0.41,8e-01,-0.20,1e+00,0.19,1e+00,-2.38,1e-01,-0.32,1e+00,0.50,1e+00,-3.93,3e-01,0.14,1e+00
343,ENSG00000198899,MT-ATP6,-0.14,1e+00,-0.25,1e+00,-0.34,1e+00,-0.89,1e-01,1.27,2e-01,-0.40,1e+00,-0.45,1e+00,3.18,4e-06,-0.74,2e-01
344,ENSG00000174748,RPL15,-0.14,1e+00,-0.61,6e-01,-0.49,1e+00,0.56,5e-01,-2.58,1e-01,-0.34,1e+00,0.49,1e+00,-3.76,3e-01,0.46,5e-01
345,ENSG00000103811,CTSH,-0.14,1e+00,-5.60,1e-12,-0.25,1e+00,0.91,5e-02,-0.68,1e+00,-3.65,3e-06,0.43,1e+00,-2.35,5e-01,0.91,3e-02
346,ENSG00000169756,LIMS1,-0.13,1e+00,-1.19,2e-01,-1.69,7e-02,-0.28,1e+00,-0.44,1e+00,1.92,8e-06,-0.40,1e+00,-2.50,5e-01,0.39,6e-01
347,ENSG00000062716,VMP1,-0.13,1e+00,0.38,8e-01,-0.71,9e-01,-0.78,4e-01,1.00,3e-01,1.51,2e-03,-0.46,1e+00,-2.36,6e-01,-0.37,9e-01
348,ENSG00000115738,ID2,-0.12,1e+00,0.09,1e+00,-1.71,5e-02,1.01,2e-02,-1.11,7e-01,0.05,1e+00,-0.16,1e+00,-4.15,3e-01,-0.12,1e+00
349,ENSG00000054654,SYNE2,-0.11,1e+00,-0.32,1e+00,-2.38,6e-03,0.26,1e+00,1.71,6e-02,0.29,1e+00,-1.03,1e+00,-2.65,5e-01,0.38,6e-01
350,ENSG00000100721,TCL1A,-0.11,1e+00,-5.69,3e-14,-0.37,1e+00,1.10,7e-03,-1.69,3e-01,-3.34,9e-06,0.32,1e+00,-3.83,3e-01,0.89,5e-02
351,ENSG00000117091,CD48,-0.11,1e+00,1.10,2e-02,0.59,7e-01,-0.30,1e+00,-1.31,5e-01,0.25,1e+00,0.22,1e+00,-3.69,3e-01,-1.08,6e-02
352,ENSG00000170345,FOS,-0.11,1e+00,0.68,4e-01,1.25,2e-02,-0.13,1e+00,-0.45,1e+00,-0.12,1e+00,-0.51,1e+00,-4.17,3e-01,-0.99,7e-02
353,ENSG00000114353,GNAI2,-0.10,1e+00,-1.04,3e-01,-0.73,9e-01,0.81,1e-01,-1.20,6e-01,-0.14,1e+00,-0.03,1e+00,-3.24,3e-01,0.47,5e-01
354,ENSG00000133872,TMEM66,-0.10,1e+00,1.63,1e-04,0.02,1e+00,-0.48,8e-01,-0.41,1e+00,0.78,3e-01,-0.40,1e+00,-3.01,4e-01,-1.73,6e-04
355,ENSG00000205542,TMSB4X,-0.10,1e+00,-0.21,1e+00,-0.05,1e+00,0.37,8e-01,-2.26,1e-01,0.23,1e+00,0.38,1e+00,-3.43,3e-01,-0.01,1e+00
356,ENSG00000134294,SLC38A2,-0.09,1e+00,0.88,1e-01,0.16,1e+00,-0.47,8e-01,1.13,2e-01,0.64,5e-01,-0.38,1e+00,-2.60,5e-01,-1.08,7e-02
357,ENSG00000113387,SUB1,-0.08,1e+00,0.24,9e-01,0.35,1e+00,-0.31,1e+00,-0.75,9e-01,1.16,3e-02,0.08,1e+00,-3.02,3e-01,-0.70,3e-01
358,ENSG00000008282,SYPL1,-0.08,1e+00,-2.86,2e-05,-0.34,1e+00,1.17,3e-03,-1.22,6e-01,-1.05,4e-01,0.44,1e+00,-3.67,3e-01,0.24,8e-01
359,ENSG00000255823,MTRNR2L8,-0.07,1e+00,0.10,1e+00,0.27,1e+00,-0.43,8e-01,1.20,2e-01,0.26,1e+00,-0.47,1e+00,2.07,3e-01,-1.51,5e-03
360,ENSG00000078304,PPP2R5C,-0.06,1e+00,0.60,4e-01,-1.15,4e-01,-0.00,1e+00,0.34,8e-01,1.30,1e-02,-0.33,1e+00,-2.75,4e-01,-0.87,2e-01
361,ENSG00000206503,HLA-A,-0.05,1e+00,0.51,6e-01,-0.33,1e+00,-0.46,8e-01,-0.48,1e+00,1.57,7e-04,-0.16,1e+00,-3.04,3e-01,-0.80,2e-01
362,ENSG00000149806,FAU,-0.03,1e+00,0.05,1e+00,0.28,1e+00,0.30,9e-01,-2.60,1e-01,-0.07,1e+00,0.48,1e+00,-4.04,3e-01,-0.25,9e-01
363,ENSG00000034677,RNF19A,-0.03,1e+00,-0.27,1e+00,-0.16,1e+00,-0.21,1e+00,0.29,8e-01,1.55,1e-03,-0.48,1e+00,-2.95,4e-01,-0.54,6e-01
364,ENSG00000176788,BASP1,-0.02,1e+00,-5.18,3e-12,-0.61,1e+00,1.18,3e-03,-1.29,5e-01,-4.24,6e-08,0.23,1e+00,-3.68,3e-01,0.88,5e-02
365,ENSG00000177954,RPS27,-0.02,1e+00,0.48,7e-01,0.28,1e+00,0.23,1e+00,-2.43,9e-02,0.02,1e+00,0.46,1e+00,-4.07,3e-01,-0.65,3e-01
